SNO,dimension,bandgap1 ,bandgap2 ,dielectric_constant_1,dielectric_constant_2,mol_wt_1,mol_wt_2,size,temperature,work_function_1,work_function_2,volt,wavelength,responsivity
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,488,0.13091166
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,492,0.146356878
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,496,0.128918848
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,500,0.149985765
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,504,0.134274595
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,508,0.130604548
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,512,0.154674191
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,516,0.128509893
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,520,0.156206291
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,524,0.139549128
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,528,0.121676638
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,532,0.134314238
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,536,0.120116599
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,540,0.143349339
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,544,0.128743908
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,548,0.117469651
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,552,0.165265893
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,556,0.119163291
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,560,0.1357831
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,564,0.127251017
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,568,0.120687338
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,572,0.165001244
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,576,0.120637929
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,580,0.148088111
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,584,0.158118318
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,588,0.134740717
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,592,0.19541439
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,596,0.145195541
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,600,0.160550945
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,200,0.004169731
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,210,0.004185406
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,220,0.004383934
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,230,0.00440736
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,240,0.004262677
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,250,0.004429447
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,260,0.004452049
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,270,0.004076965
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,280,0.003777951
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,290,0.00371314
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,300,0.002637054
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,310,0.002031496
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,320,0.00124759
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,330,0.000548268
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,340,0.000111387
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,349.9838898,3.95E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,360,0.000290242
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,370,0.000103949
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,380,6.54E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,390,4.24E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,400,2.52E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,410,0.000146601
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,420,0.000256102
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,430,0.000223978
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,440,0.000185253
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,450,0.000113273
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,460,4.12E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,470,3.90E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,480,3.05E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,490,4.57E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,500,4.75E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,510,8.52E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,520,0.000113763
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,530,0.000150043
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,540,0.00017733
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,550,0.000123368
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,560,8.53E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,570,4.14E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,580,1.07E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,590,2.67E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,600,5.66E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,610,7.80E-05
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,620,0.000104182
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,630,0.000111595
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,640,0.000118162
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,650,0.000124779
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,660,0.000121717
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,670,0.000158283
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,680,0.000171305
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,690,0.000194779
2,2,3.36,3.2,24.5,90,172.12,79.87,13.85,30,4.25,4.7,0,700.026179,0.00022171
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,406,0.000808005
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,412,0.001545581
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,418,0.002067392
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,424,0.002463461
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,430,0.002310584
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,436,0.002238419
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,442,0.002058562
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,448,0.001898311
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,454,0.001760284
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,460,0.002188693
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,466,0.002234483
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,472,0.002234077
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,478,0.00208846
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,484,0.00192718
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,490,0.001453306
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,496,0.001632657
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,502,0.001814762
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,508,0.001737993
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,514,0.001711182
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,520,0.001903259
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,526,0.002027336
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,532,0.002152212
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,538,0.002332526
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,544,0.002529683
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,550,0.002319757
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,556,0.002095652
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,562,0.002040654
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,568,0.00197086
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,574,0.00195063
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,580,0.001713573
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,586,0.001667999
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,592,0.001515226
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,598,0.00144581
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,604,0.001358354
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,610,0.001272036
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,616,0.001315362
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,622,0.001276866
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,628,0.001204046
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,634,0.001097828
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,640,0.000824811
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,646,0.000882878
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,652,0.000832759
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,658,0.00092155
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,664,0.001050079
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,670,0.000993898
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,676,0.001044678
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,682,0.001023406
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,690.5374449,0.00041262
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,694,0.001213877
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,700,0.00283347
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,706,0.004334978
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,712,0.005023567
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,718,0.005944999
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,724,0.006436191
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,730,0.005752846
